,loss
0,1951.09785656
1,1666.46883963
2,4289.23048565
3,982.59897774
4,3249.46900306
5,4294.57050939
6,1198.84382151
7,6759.3522552
8,8573.83264883
9,7033.38092245
10,4444.4381174
11,5746.43873627
12,2050.08712239
13,1019.19343453
14,656.278521466
15,1095.87528876
16,8608.77105146
17,1401.90806018
18,4364.14386613
19,2390.10685964
20,1002.77296951
21,921.311876522
22,1161.29424233
23,2031.03875438
24,2234.08892881
25,2051.60251501
26,2166.37422864
27,1246.62580671
28,6509.92994995
29,1898.77350935
30,2579.62437934
31,1742.45828485
32,4527.46490979
33,3315.82903094
34,1337.065192
35,1292.37966278
36,4112.22137704
37,13725.8408752
38,1579.07608731
39,2831.57316867
40,965.201060335
41,5710.13705907
42,4316.67945708
43,2481.41526579
44,1206.00594509
45,11543.0085573
46,1128.25406743
47,782.745426827
48,1218.41963464
49,1467.77183106
50,2519.79838287
51,2320.68735829
52,2061.3982752
53,2669.15282555
54,1815.7348682
55,2021.17937815
56,1483.04293985
57,1659.97458139
58,2500.05370993
59,3908.79576019
60,1899.92703673
61,1209.81989758
62,1255.56562689
63,2643.01593919
64,1688.01694824
65,19166.5926318
66,1281.17893115
67,1445.62647673
68,1427.98250449
69,4942.74187514
70,1117.63902432
71,3811.44884354
72,1865.19287963
73,5135.92896719
74,1569.64806736
75,1546.52091877
76,1940.28015565
77,2130.83162534
78,3662.67748753
79,3097.36381114
80,1697.44298429
81,4828.16148417
82,1982.87822141
83,1096.28558404
84,1384.71427829
85,1423.8689354
86,1226.92908729
87,1298.09053097
88,1010.97711035
89,554.540171719
90,1258.41988403
91,1696.6119449
92,1503.81099451
93,2159.09250406
94,4442.28387325
95,2491.31365252
96,1947.19475398
97,3326.11996787
98,1088.51003612
99,2446.35847889
100,1140.98406593
101,3249.76670847
102,1591.6563683
103,1862.033004
104,4550.02845051
105,1234.41737163
106,2643.92338236
107,1410.89662001
108,3449.80497161
109,1598.59453695
110,5274.47650391
111,1148.10269752
112,1099.29042215
113,2188.88506581
114,3435.85806844
115,1413.79072157
116,773.364289063
117,1954.56051883
118,2500.55461154
119,2137.71612793
120,1784.81354584
121,1483.29847902
122,5432.69037901
123,3980.36174156
124,3412.17641995
125,11984.3330975
126,1853.64149597
127,2076.08036911
128,2510.49158226
129,8183.85822733
130,2191.9622412
131,2022.5660683
132,2707.9397729
133,1312.19661946
134,2540.68096672
135,1225.07702571
136,5204.43572023
137,1386.64402057
138,5935.32164082
139,781.049214027
140,1525.83953465
141,1067.08003825
142,2067.39930355
143,1307.28025051
144,1377.87733918
145,1363.75815939
146,3575.18161915
147,1803.93384163
148,1733.15671394
149,887.659908269
150,1126.52249334
151,3207.45236105
152,3457.97084816
153,1712.52814145
154,3923.5888582
155,1659.56807742
156,3215.55222866
157,2665.07198473
158,1622.44006041
159,1229.15792829
160,4994.47778082
161,1302.87785363
162,1365.17868687
163,1864.14164034
164,2918.96915955
165,1536.49198449
166,1382.00489884
167,1113.98799217
168,1283.32850923
169,2254.35813327
170,3892.37166935
171,1157.75855742
172,814.875926502
173,4736.00369538
174,3341.12528103
175,2255.37264309
176,4248.73478833
177,7323.52546429
178,1860.83242944
179,4314.12768354
180,630.355489714
181,2466.92289735
182,1853.89292891
183,3076.52765815
184,1411.200329
185,2529.57303292
186,1436.67858338
187,5969.4033827
188,1394.74491064
189,2155.74447476
190,3643.93523666
191,1168.03660234
192,1691.75164735
193,2234.9727909
194,2163.25020451
195,4408.82344651
196,2276.00293191
197,1436.97765355
198,1974.39307406
199,1280.84150251
200,7831.05451378
201,1626.36004664
202,3610.32971077
203,3499.2635759
204,2516.94220654
205,2642.2414129
206,2352.17095813
207,1367.18919518
208,7743.34158089
209,1505.59132142
210,1238.25219975
211,6071.62116384
212,1768.17047337
213,2687.8782053
214,2088.8035384
215,780.125849755
216,2032.66224051
217,907.385214586
218,703.076541172
219,3064.35170366
220,1830.29630054
221,2508.05463074
222,883.862011743
223,1806.66696434
224,1682.14190415
225,1220.03068941
