,loss
0,1869.41830697
1,1825.80221981
2,4290.12140232
3,1019.43079834
4,3231.03917345
5,4383.45392747
6,1222.96853242
7,6682.74655403
8,8410.75005956
9,6780.39456139
10,4677.12594537
11,5807.74488388
12,2115.19693603
13,1045.16783824
14,614.438093693
15,1133.40527789
16,8218.74646939
17,1381.1299967
18,4015.21731976
19,2306.49362777
20,1064.7710712
21,950.726719629
22,1136.14156626
23,1946.84048279
24,2291.27407674
25,2130.86131777
26,2186.404181
27,1217.11303627
28,6747.41486751
29,1867.94686198
30,2645.74778725
31,1880.23825068
32,4688.25476077
33,3326.83803974
34,1351.02908363
35,1313.6571904
36,3996.85715407
37,13393.1588351
38,1591.03057799
39,2913.24041273
40,985.563814175
41,5671.05368786
42,4562.01348027
43,2360.52814078
44,1270.8354799
45,11353.0287564
46,1161.26567185
47,830.862958833
48,1168.23540295
49,1485.00990051
50,2480.36083526
51,2249.75443254
52,2075.12045657
53,2478.28588668
54,1825.98697082
55,2015.32434059
56,1530.1815019
57,1635.22259635
58,2393.80905438
59,4046.63626978
60,1950.28078808
61,1246.2095002
62,1277.63363239
63,2724.66576431
64,1761.28272712
65,18525.0884955
66,1333.76332271
67,1507.9480441
68,1344.137727
69,5004.17812963
70,1081.80935484
71,3666.22754023
72,1887.58437486
73,5148.61024777
74,1522.16183221
75,1556.33330961
76,2003.70347868
77,2222.05675785
78,3743.16922981
79,3209.30243128
80,1590.74858709
81,5123.32911221
82,1974.26312745
83,1080.48664951
84,1453.54079815
85,1396.08538679
86,1235.89308499
87,1300.78089976
88,1037.00922501
89,603.815423342
90,1273.57102268
91,1856.50529219
92,1566.18374561
93,2203.85253356
94,4325.69874183
95,2528.91901677
96,2049.31147605
97,3356.11381017
98,1124.66352234
99,2476.43085131
100,1205.3460022
101,3406.55250135
102,1559.88236514
103,1867.61068682
104,4508.75159858
105,1333.07503892
106,2810.46932352
107,1464.65367783
108,3451.68879547
109,1650.30902121
110,5465.88039839
111,1165.67586808
112,1103.00290215
113,2223.75059411
114,3674.08757696
115,1484.01847408
116,757.314518034
117,1960.80168408
118,2467.39400464
119,2138.56835891
120,1817.88084629
121,1524.67808337
122,5601.89765273
123,4033.12411567
124,3391.13734834
125,11497.6168024
126,1951.47150748
127,2073.77640314
128,2467.78571689
129,8313.3638286
130,2236.46204198
131,2016.76032312
132,2762.89036256
133,1360.66634602
134,2815.4636692
135,1224.43302189
136,5504.13348621
137,1352.46502049
138,5779.24083832
139,766.806350022
140,1555.05247026
141,1038.65895402
142,2097.35747651
143,1355.82467627
144,1380.18217173
145,1392.78844011
146,3644.32962138
147,1890.50387134
148,1785.34053315
149,860.983137708
150,1182.0970959
151,3114.08717927
152,3593.72057017
153,1825.93145075
154,3858.00795609
155,1572.29103525
156,3344.54802559
157,2949.01821594
158,1653.8968348
159,1197.97011026
160,5148.16838134
161,1383.14914844
162,1433.68555029
163,1878.53914379
164,3029.99798929
165,1595.35627297
166,1370.09703297
167,1099.05306664
168,1293.54364104
169,2339.5735951
170,3709.00425922
171,1205.64010405
172,832.608799138
173,5135.41149014
174,3347.4525344
175,2166.21538775
176,4334.36904669
177,7193.83436227
178,1801.00942398
179,4299.12256386
180,636.558081395
181,2514.12723691
182,1849.94265541
183,3070.73275586
184,1493.2125357
185,2702.18993687
186,1412.37473132
187,6107.40570682
188,1318.93148464
189,2134.10415894
190,3875.09107297
191,1185.15073622
192,1674.48977957
193,2348.17634738
194,2211.74896178
195,4365.4311006
196,2351.09229571
197,1372.93137125
198,2042.15179904
199,1280.62233578
200,7889.52446392
201,1621.22736386
202,3746.18367116
203,3414.52873069
204,2815.23107342
205,2583.55945157
206,2482.13659277
207,1296.52322702
208,8101.1940583
209,1512.5008603
210,1384.41330954
211,5942.74485967
212,1780.00953571
213,2628.45953097
214,2219.1307649
215,816.364022849
216,2140.72191568
217,953.24512338
218,672.305737226
219,2973.51925138
220,1857.18959146
221,2507.50408096
222,859.21477889
223,1813.8903839
224,1726.56134864
225,1225.20511455
226,2841.51340959
227,2835.59306304
228,11989.9463851
229,5783.75554024
230,2397.48292507
231,1693.55039342
232,1743.06445381
233,1300.31380967
234,1736.44504128
235,2844.3748682
236,672.805055202
237,1620.0832632
238,2220.11930597
239,882.219727724
240,1052.72787554
241,5480.95052541
242,1114.13271322
243,1617.90284858
244,1264.58780367
245,2472.52447608
246,3069.65053213
247,1410.73438453
248,1344.59500823
249,3205.44124691
250,3749.68254535
251,1580.50151896
252,5268.8139672
253,3378.56782876
254,1401.17078952
255,9742.81923357
256,3231.49785525
257,4082.27858195
258,1320.76643679
259,3222.70038973
260,1187.94578025
261,1438.87405962
262,1331.83758429
263,1818.30604256
264,3378.81249184
265,3990.3768798
266,1951.15154391
267,1717.24599185
268,1966.30319389
269,1526.71012776
270,2678.47366796
271,1194.41084822
272,2260.18803825
273,3653.39129294
274,2198.96442481
275,1171.12131323
276,3158.30767417
277,2413.65731324
278,1455.5630387
279,2048.94091514
280,10901.3839443
281,2209.34399646
282,1864.53017426
283,7156.01257135
284,4003.6803286
285,4682.88485657
286,4629.94039172
287,1978.67918033
288,3068.93795172
289,2405.65243086
290,1942.36138346
291,2459.87161328
292,1328.07545122
293,2191.44324548
294,6367.90449483
295,1282.98700254
296,1228.41982468
297,2325.25644236
298,737.348501997
299,1186.35542382
300,1308.39182276
301,8999.86552321
302,1333.71699558
303,5790.60251328
304,2039.48583664
305,1561.82920568
306,1587.79392034
307,5070.82908584
308,2102.04361376
309,1022.84567409
310,1725.34347389
311,3313.11117261
312,849.213171851
313,2805.29358208
314,3908.04751373
315,3425.88041257
316,1370.74457406
317,5600.27613959
318,1885.01135722
319,6943.85483333
320,9760.22231137
321,2506.20680315
322,4112.85645648
323,1314.75956983
324,5156.4784395
325,12030.556161
326,1608.16301215
327,4799.90855529
328,1664.34777877
329,2077.92575836
330,1360.64449309
331,952.666387461
332,901.135735453
333,6651.06477038
334,3776.79786448
335,1184.07900041
336,902.29760721
337,2196.22100827
338,3155.33210647
339,977.876590605
340,1455.00231399
341,2536.83576813
342,2157.91387674
343,3801.42169106
344,2469.14327572
345,3080.17792588
346,1966.99671471
347,2037.42475864
348,1738.22167198
349,3736.34464652
350,2357.32160326
351,4326.73180376
352,2721.07005032
353,2151.41534132
354,1232.54325522
355,1416.76608035
356,4276.83423746
357,2794.20450875
358,4222.61480078
359,1500.1400615
360,2027.53287336
361,1193.59422461
362,1250.88402698
363,1697.60002027
364,3167.33613735
365,3238.96417288
366,1868.64501124
367,827.578972619
368,696.985754741
369,1509.20599683
370,4534.06316581
371,2066.87457143
372,933.229078115
373,3584.19708834
374,4942.13331102
375,1615.31394441
376,832.757747695
377,2035.38404467
378,6248.47856797
379,2452.28678929
380,5028.61650608
381,5068.57436233
382,3843.67936515
383,4767.0464768
384,1050.89841273
385,5225.99846023
386,1700.54299017
387,2818.56513037
388,5387.71298142
389,4188.4870702
390,1410.04143656
391,1092.06029223
392,1505.05712151
393,7444.06859077
394,922.38883051
395,1063.48517865
396,1532.38379908
397,1310.11079091
398,1297.70739455
399,825.676632409
400,2203.59433947
401,4911.90207728
402,4594.49567401
403,1481.82006717
404,3224.20346685
405,876.578737582
406,2581.08568378
407,2288.52134392
408,1119.53959421
409,1988.38458822
410,3294.45787792
411,2124.98911712
412,1195.43284887
413,4771.45801551
414,3732.90491048
415,946.002475453
416,1188.5780852
417,1742.63544942
418,1633.06599416
419,2302.44254546
420,1579.93611727
421,5640.34883757
422,3126.83287107
423,1479.42535592
424,1643.57850316
425,4224.85927626
426,2826.4062337
427,3782.85928171
428,5733.70764751
429,1387.33924795
430,1688.59129619
431,2650.05441788
432,1456.13441151
433,842.586345362
434,4197.34101433
435,1026.60428157
436,1730.28174419
437,1903.90911205
438,721.525467747
439,2863.32130959
440,5087.71253211
441,1822.3812561
442,845.402603184
443,2045.85792217
444,4734.32106438
445,3067.51831529
446,2096.44105528
447,2099.37015808
448,7195.14865813
449,1035.89018922
450,1437.42301243
451,1536.06956578
452,1489.25869421
453,3379.06198787
454,1808.92099597
455,1880.1818435
456,8257.01188207
457,1066.12261214
458,5407.5113859
459,2994.66226193
460,1308.05589372
461,3766.97427339
462,1163.47001061
463,2151.65054783
464,918.964733601
465,3663.54281639
466,1419.85660265
467,1398.1402949
468,2261.9035537
469,1570.48560251
470,965.80143053
471,2960.71253549
472,723.385142409
473,6697.82504999
474,920.03561426
475,4052.1531713
476,3626.57374981
477,4776.8859677
478,2180.52604978
479,3107.44700925
480,2046.06622542
481,5618.67363877
482,2235.30476813
483,671.472695231
484,1551.89882199
485,3719.22897345
486,1477.92767319
487,1970.0871162
488,1922.51777148
489,1610.12655432
490,11737.0986458
491,1432.58164033
492,1355.50196113
493,979.697232719
494,1799.11213395
495,2013.76773139
496,4900.58828172
497,1517.6034858
498,1210.11502179
499,7740.61333746
500,1380.90190916
501,6999.80906609
502,2023.5184311
503,1924.42485333
504,2311.92543022
505,1577.30878214
506,772.860761581
507,3055.73368147
508,1312.92505315
509,1943.6748595
510,823.410834764
511,1369.89785973
512,1699.26425596
513,1448.99351068
514,1288.39712696
515,3535.80325805
516,8202.80418415
517,1017.19928821
518,1483.32913112
519,2207.6041581
520,2878.35196591
521,3811.07006188
522,10024.0482631
523,3076.6925759
524,2212.57565745
525,592.122684602
526,3621.92424315
527,2568.12632274
528,1271.67490668
529,2468.83394139
530,1929.30252862
531,2568.7043094
532,1426.72671849
533,1410.21677203
534,2032.92587783
535,9233.13614387
536,3124.2579285
537,767.988478986
538,6465.67309299
539,3041.64429732
540,1992.13910668
541,1984.21076776
542,1122.77904274
543,3119.05104004
544,1739.69553781
545,1467.82102991
546,2124.44038976
547,2432.5010503
548,5047.04096902
549,2604.51277038
550,4711.96959228
551,4048.89185741
552,871.250372657
553,939.023239135
554,15142.1918938
555,597.187115362
556,1299.08364875
557,2238.14506859
558,8105.51272699
559,1810.47978234
560,901.445886454
561,2560.43220643
562,1253.91879236
563,1459.09649722
564,679.87526831
565,4182.55801371
566,1083.65267041
567,809.494905831
568,9186.15152232
569,1274.96975199
570,2223.1829177
571,1017.77849627
572,3699.71999416
573,2492.26145626
574,4609.86135611
575,1182.83156676
576,3868.38494442
577,4033.71148748
578,1068.59377954
579,1690.92669834
580,1066.22105954
581,2333.68399255
582,3408.95630233
583,2339.80304513
584,2243.86443756
585,1241.55166618
586,1627.13366095
587,1210.01230018
588,1532.56841258
589,2640.29735886
590,9477.47189231
591,1504.99807061
592,4558.98082127
593,2333.44891747
594,2555.64484565
595,3165.88191278
596,2594.68624805
597,1385.85510189
598,2667.56021501
599,1921.86001406
600,1741.38511566
601,1256.15597474
602,1089.59114452
603,6532.26337834
604,2009.19540929
605,6055.85556083
606,1196.11821029
607,1702.85301146
608,7022.57369988
609,3347.6431883
610,963.167948552
611,3232.02377164
612,4068.35117843
613,859.74354567
614,4964.28114716
615,2919.86281704
616,1306.88061022
617,3733.82566232
618,3772.126683
619,3379.59400381
620,4346.3374251
621,5000.9933463
622,740.457795504
623,1863.83727799
624,1822.18201097
625,2059.61065929
626,1862.80715773
627,1498.08298123
628,756.173396823
629,2113.43211773
630,1886.85353766
631,5789.83223948
632,971.178163182
633,1472.48818012
634,1544.13406311
635,4909.12746499
636,2555.3703147
637,4969.31312381
638,1563.30309721
639,1596.60455819
640,1074.4541347
641,2066.02272014
642,5967.75234631
643,1023.96378751
644,1729.73683244
645,3368.52189911
646,2457.73776298
647,2507.02210369
648,6165.3223172
649,12108.7542755
650,3236.6676612
651,9341.62748954
652,678.013128959
653,977.066305674
654,1354.37581053
655,1126.96610462
656,4718.76374104
657,3834.37234261
658,2777.63415937
659,2651.35340326
660,2426.88169864
661,1554.84776235
662,1944.69329639
663,1940.5645849
664,7706.69556736
665,911.714957484
666,1114.90002675
667,2333.76969978
668,1626.20385055
669,2501.37805519
670,930.170340084
671,7194.99504579
672,1637.05513231
673,4009.99457623
674,6963.81749139
675,666.657704309
676,1814.56040094
677,869.055589925
678,8323.65374841
679,1965.99636034
680,16737.9875778
681,1272.51576311
682,2914.64835425
683,2379.75033765
684,2262.55719265
685,5958.28771266
686,1186.06243887
687,889.220288802
688,3801.46648869
689,2033.69982819
690,3962.7046687
691,1523.19662245
692,2187.27565246
693,1928.75346961
694,2001.23131088
695,1438.24185709
696,1781.32785995
697,1076.59043133
698,3668.52534984
699,1158.82980735
700,1216.94959114
701,1233.90874162
702,1794.67368811
703,8784.42082669
704,1563.65397643
705,2669.7322393
706,5936.46417467
707,1753.29847042
708,10038.2459358
709,5078.61942636
710,960.197738688
711,1566.83394766
712,930.87514439
713,8945.85303243
714,7986.05840893
715,2708.92366341
716,2094.90838258
717,1443.20638027
718,6680.03069501
719,4555.34213803
720,982.988562699
721,4318.29895127
722,3671.11940846
723,1324.34429972
724,3381.96616043
725,3647.09723471
726,953.90778081
727,4305.48367899
728,1041.02888359
729,2838.66378481
730,1677.05928616
731,2318.59239907
732,2075.30734666
733,1699.91672091
734,1705.16862193
735,1365.30687945
736,2602.44709933
737,3418.93649682
738,1571.88601084
739,1676.97041364
740,1135.68991166
741,1082.7422062
742,1188.1676129
743,5290.69741657
744,6290.41505213
745,1613.41439741
746,6495.74364354
747,6833.43724087
748,5230.06014021
749,4870.88940485
750,2784.74183753
751,3703.82842505
752,2579.16366203
753,1241.63664664
754,1649.00113567
755,1201.0938398
756,1078.29236138
757,3478.5963503
758,3694.41918854
759,1536.18562582
760,2486.12271441
761,8518.49428233
762,2233.26734566
763,4263.55523983
764,4749.79606574
765,1452.12762796
766,7031.51128795
767,1748.83583251
768,1365.29582042
769,1400.91958187
770,5504.2877458
771,1784.57734052
772,2511.05633556
773,6847.68453103
774,1832.43340327
775,1718.81547515
776,4499.22294446
777,1145.97965395
778,1712.66155137
779,722.486034147
780,1237.16018337
781,1939.21377118
782,6909.34917678
783,8448.98585735
784,1997.84613665
785,1156.76995053
786,922.651806311
787,2276.53666265
788,4373.87890019
789,2253.97413726
790,2914.58369364
791,2052.73712673
792,3255.42518933
793,3056.27806736
794,5358.07531557
795,2043.27852293
796,4433.35397125
797,2582.73113822
798,3073.16147477
799,4220.06963503
800,1991.96974133
801,1099.48895779
802,5302.86633071
803,1956.81776166
804,2101.4610935
805,768.67527075
806,1460.43864978
807,1299.68421958
808,2202.49855068
809,2198.17393987
810,4260.25276366
811,1039.35223383
812,1441.94526021
813,982.997740855
814,5444.2787146
815,1728.0000548
816,875.065659595
817,3108.45792412
818,3139.39537932
819,2675.35247527
820,7491.4027604
821,893.266625205
822,1713.00411779
823,1345.08755354
824,5364.39315963
825,945.301577224
826,1059.35505505
827,1044.84486553
828,1254.18813674
829,1513.26549918
830,2534.23523145
831,3858.95167288
832,2064.93053461
833,1498.98946494
834,1600.42590853
835,2431.59547962
836,942.718967799
837,5699.19909532
838,3909.16511392
839,14403.5518345
840,1024.94223988
841,1550.32796175
842,1723.73201747
843,4629.28026274
844,1172.78070416
845,3663.27018684
846,1906.43124922
847,1977.77255311
848,6894.74182173
849,1719.47832982
850,2201.66343869
851,981.889265323
852,979.351308935
853,11749.3205191
854,1577.27692223
855,1486.97811714
856,8800.92396792
857,1266.27344416
858,1443.27691366
859,1832.33541912
860,4510.40820742
861,5464.31698029
862,1285.23776317
863,3356.48659812
864,4682.58564857
865,950.536382779
866,696.461159124
867,13194.9775245
868,13453.3021085
869,4334.10937185
870,1177.52509392
871,3060.40204087
872,1499.34088335
873,1346.44474736
874,1166.54702994
875,3201.58480533
876,2175.79928342
877,3239.4309789
878,3211.46780421
879,3662.02000807
880,2550.16533896
881,6325.70411534
882,1231.15954093
883,1583.14891779
884,3379.12451407
885,1140.42475282
886,3341.11279626
887,2808.39833514
888,7700.52617081
889,2524.45468126
890,4840.31531724
891,1948.5459149
892,2055.12624269
893,1249.50269671
894,1777.00943856
895,2713.31243005
896,1150.46263191
897,3701.30708148
898,1830.91809311
899,3131.43885529
900,2921.5788318
901,5602.9883023
902,1088.44121336
903,2535.32339994
904,6368.77069578
905,1123.29635948
906,4301.7112753
907,2312.39652289
908,1453.86542009
909,11717.2949066
910,7844.85963252
911,1818.54343233
