,loss
0,1899.28784805
1,1759.4982473
2,4249.99798819
3,1027.5559787
4,3320.08348289
5,4456.9533429
6,1233.95606286
7,6722.07633637
8,8556.09043204
9,6737.08259131
10,4629.57227122
11,5724.10747242
12,2107.45365067
13,1047.14282529
14,535.915731133
15,1140.33521478
16,8167.22628914
17,1426.58989128
18,4032.68703279
19,2334.73188497
20,1052.27372486
21,947.598342351
22,1162.44438083
23,2025.28637729
24,2291.28644488
25,2196.75170131
26,2088.09994395
27,1260.05430365
28,6659.52713716
29,1893.86605926
30,2658.92814042
31,1855.07216472
32,4731.49896792
33,3369.75391444
34,1328.52887689
35,1300.55147986
36,4091.35357805
37,12502.6344854
38,1617.09981314
39,2946.25513709
40,959.721634635
41,5656.22737929
42,4588.12473249
43,2409.93225652
44,1282.49686483
45,11470.8250781
46,1137.39980625
47,803.200235048
48,1172.36574627
49,1476.00736877
50,2496.15733624
51,2274.34920667
52,2099.79141137
53,2358.24233186
54,1793.80098974
55,2043.44252619
56,1499.11335827
57,1621.62216037
58,2343.56369484
59,4076.00585088
60,1905.53232944
61,1242.28635232
62,1250.92685226
63,2700.36562869
64,1805.10122452
65,18155.805787
66,1323.89226348
67,1507.40978829
68,1441.64131185
69,4902.61570458
70,1109.41398174
71,3686.24650467
72,1898.52718981
73,4952.3557691
74,1525.49521958
75,1509.14744026
76,1976.1274824
77,2213.2593172
78,3801.55168684
79,3140.40582094
80,1612.63756561
81,5096.99252892
82,1977.62172075
83,1089.00247158
84,1434.14380973
85,1399.43159806
86,1166.9037375
87,1305.79604241
88,1023.23851586
89,560.478567132
90,1314.41040062
91,1890.37132094
92,1480.31936631
93,2269.74316672
94,4372.44998924
95,2596.93058897
96,1976.31629207
97,3302.46031539
98,1177.91860767
99,2480.95344336
100,1176.35410732
101,3420.33611524
102,1548.70037013
103,1896.97923823
104,4499.09808259
105,1353.14219884
106,2854.15676676
107,1515.9116302
108,3509.44948231
109,1623.8106738
110,5436.292041
111,1155.35336772
112,1122.44046157
113,2223.87871452
114,3630.62100413
115,1506.2579145
116,736.191688055
117,1986.57685526
118,2500.81806188
119,2174.83881786
120,1776.9782925
121,1480.58906236
122,5737.12245074
123,4007.06250728
124,3396.90852287
125,11737.7310929
126,1946.64557203
127,2073.45136065
128,2480.28027973
129,8397.96868962
130,2295.35631748
131,2049.375941
132,2746.65791496
133,1422.00587677
134,2698.25392605
135,1203.49972402
136,5436.51438793
137,1355.76310407
138,5903.58281302
139,764.822918478
140,1537.47567154
141,1050.69335454
142,2163.57662511
143,1392.26386244
144,1371.55247968
145,1411.9093256
146,3641.67528491
147,1896.05276872
148,1728.50425258
149,864.668638413
150,1171.48510362
151,3098.37088452
152,3585.06646032
153,1860.72805287
154,3833.44783991
155,1591.33332539
156,3338.23790702
157,2791.15612133
158,1624.95224833
159,1195.90935219
160,4982.46124611
161,1425.78617068
162,1473.90612706
163,1872.74650329
164,3007.42958952
165,1592.08346927
166,1352.10053098
167,1080.87124098
168,1262.38819361
169,2348.37804565
170,3713.2388929
171,1174.5005966
172,829.248338981
173,5233.58753925
174,3402.79009692
175,2203.26162291
176,4263.25048342
177,7075.26665473
178,1783.40155258
179,4205.94996147
180,604.676896527
181,2520.44237744
182,1891.98355438
183,3102.24826594
184,1504.58877665
185,2738.16795956
186,1412.20778189
187,6125.21398523
188,1298.81915838
189,2170.60861925
190,3929.55222857
191,1162.15843856
192,1722.10363696
193,2369.62694616
194,2221.96055624
195,4331.71107514
196,2419.73875819
197,1416.29637306
198,2072.86891538
199,1302.99840434
200,7857.90750444
201,1643.06456172
202,3734.10721006
203,3396.65725621
204,2817.07212387
205,2597.55058665
206,2545.99352514
207,1295.65686854
208,8044.95366915
209,1543.86723009
210,1372.91255633
211,5858.16378791
212,1784.60260262
213,2690.3318039
214,2230.8024665
215,789.711583179
216,2186.23834734
217,922.308171236
218,661.505598489
219,2922.49650444
220,1831.2984978
221,2578.89175641
222,841.422324846
223,1836.17871433
224,1638.06104225
225,1203.53789786
226,2726.37092286
227,2745.8840248
228,11976.8963658
229,5752.20626901
230,2430.57525516
231,1652.84568345
232,1814.792215
233,1308.65488526
234,1791.25879631
235,2758.39093292
236,645.159223743
237,1654.24263376
238,2267.51330154
239,860.671299018
240,1055.61627736
241,5495.20593195
242,1151.31353192
243,1662.79011977
244,1305.5069778
245,2510.67399074
246,3035.64527874
247,1407.55835028
248,1301.97782596
249,3151.70418219
250,3859.27573017
251,1558.34124156
252,5219.67729217
253,3332.27994931
254,1399.22281547
255,9807.79996878
256,3221.9619468
257,4010.41626772
258,1346.27681797
259,3227.40480303
260,1178.0737631
261,1452.44827944
262,1321.75665005
263,1756.25189607
264,3436.68785835
265,4070.86285331
266,1932.37352708
267,1735.56228647
268,1956.29481789
269,1565.09123484
270,2714.97180799
271,1212.42756355
272,2297.94849124
273,3660.20935336
274,2215.76136697
275,1208.33537128
276,3162.87165483
277,2430.13471091
278,1434.40765738
279,2068.83003017
280,10172.5516048
281,2204.49563045
282,1847.7331887
283,7082.70356171
284,3991.5075123
285,4738.13650417
286,4627.64864164
287,2023.01333719
288,3088.84564442
289,2512.58311648
290,1979.53792906
291,2527.57743438
292,1268.2069041
293,2206.43160616
294,6417.83795644
295,1314.67833136
296,1254.04667492
297,2391.73858445
298,716.456223412
299,1189.47012777
300,1323.48766802
301,8926.38848358
302,1332.83352796
303,5777.76835999
304,2021.64049866
305,1564.15234631
306,1574.96378722
307,4994.29218627
308,2060.82538444
309,1000.03026652
310,1714.97788622
311,3335.90975333
312,835.992978637
313,2753.2411513
314,3919.79234724
315,3413.17435918
316,1380.10543714
317,5643.60781757
318,1900.97806857
319,6801.12337687
320,9780.34944625
321,2479.51113224
322,4089.96215284
323,1328.67996761
324,5186.767886
325,11916.3013289
326,1525.59208763
327,4620.463026
328,1700.25170591
329,2085.32489747
330,1370.38550517
331,937.459791655
332,891.081192293
333,6629.20911048
334,3760.07150231
335,1130.09227057
336,918.478955432
337,2137.25643255
338,3225.41905588
339,966.397805642
340,1463.92170228
341,2573.80344261
342,2190.98710517
343,3770.94021658
344,2519.4416482
345,2958.14633779
346,1974.14777942
347,2065.34652291
348,1786.9738393
349,3727.08098378
350,2385.12140579
351,4305.09682706
352,2716.56231094
353,2207.74458635
354,1222.20851444
