,loss
0,1953.0756808
1,1564.17549087
2,3896.98705766
3,1013.70376687
4,3420.62526784
5,4590.25276171
6,1191.76196605
7,6883.17895038
8,8102.70373141
9,6627.82170971
10,4502.01984545
11,5722.8514017
12,1926.19851674
13,1053.61888438
14,799.964251573
15,1140.27552407
16,8358.11238338
17,1410.03142231
18,4418.00314855
19,2338.64117437
20,988.022251653
21,924.378023935
22,1210.71153528
23,1990.97423691
24,2340.0928289
25,2152.48668976
26,1778.26383636
27,1353.82751394
28,6532.16444766
29,1941.08221566
30,2580.14843757
31,1819.94289163
32,4563.37538764
33,3284.59675371
34,1447.07781941
35,1342.25456939
36,3857.39176547
37,14230.2151752
38,1469.07139454
39,2956.89389216
40,932.314799081
41,6003.57372021
42,4728.98364098
43,2473.80036235
44,1341.23235226
45,11633.9092392
46,1042.20435419
47,833.60225899
48,1220.74179589
49,1466.7638693
50,2582.5468166
51,2493.58819235
52,2290.10435034
53,2816.45508776
54,1852.81998017
55,2092.2142375
56,1738.05817877
57,1813.94318686
58,2807.9201975
59,3903.80283528
60,1889.20906535
61,1192.87495699
62,1474.34633884
63,2827.99051668
64,1761.11781784
65,18312.8565326
66,1213.54562192
67,1593.70857084
68,1332.21270177
69,5293.94107705
70,1077.11287028
71,3838.71421256
72,1835.04030756
73,5252.75158983
74,1560.37360426
75,1518.23348121
76,1985.01336194
77,2000.18083777
78,3605.25260357
79,2717.71536303
80,1643.67539247
81,4750.18895299
82,1906.10508153
83,1229.65098913
84,1269.59189811
85,1606.82352056
86,1392.08582614
87,1341.43072738
88,974.555789012
89,579.533942813
90,1216.36481682
91,1493.06765521
92,2030.96406442
93,2182.91791394
94,4251.65504484
95,2509.98250615
96,1995.47186719
97,3363.07706419
98,1169.47388835
99,2249.83601752
100,1101.15965237
101,3006.57750744
102,1769.58843371
103,1856.68247474
104,4702.53830856
105,1357.18743293
106,2802.86870212
107,1369.64307996
108,3336.65139102
109,1843.39343252
110,5765.42564604
111,1057.30222935
112,1170.83708862
113,2408.3110094
114,3096.64012944
115,1462.19108785
116,735.860719116
