,loss
0,1882.63982202
1,1956.32790487
2,4522.46369894
3,1068.82565952
4,3233.29369893
5,4171.77772217
6,1259.75795244
7,6393.49518481
8,8416.80722499
9,6898.16251868
10,4861.75302906
11,5716.4952498
12,2136.2493033
13,1050.96966366
14,719.167290521
15,1183.47017488
16,8962.00044216
17,1465.67014183
18,3838.76030768
19,2327.32889825
20,1094.72556061
21,1032.20733926
22,1183.29170668
23,2083.53650983
24,2379.73295537
25,2148.65324447
26,2418.60421149
27,1256.14277141
28,6396.50573015
29,1912.34977429
30,2515.52972657
31,1934.01148413
32,4696.39135777
33,3303.27338726
34,1333.54039303
35,1325.61692389
36,4287.21787051
37,13130.3965477
38,1666.05091979
39,2853.16509108
40,1022.705392
41,5216.32411386
42,4165.68763629
43,2391.12929033
44,1304.52503161
45,11862.6670279
46,1292.19589703
47,827.560862067
48,1249.90837055
49,1517.48443313
50,2500.19683882
51,2169.38319284
52,2046.97147904
53,2460.1200168
54,1895.76666075
55,2074.81766726
56,1533.09705528
57,1599.5860548
58,2243.86056773
59,3802.86292229
60,1967.99642995
61,1349.8930212
62,1236.16817378
63,2566.56909601
64,1765.25452668
65,17784.2503884
66,1473.49590634
67,1545.77283477
68,1485.32072551
69,4643.99625483
70,1104.14158379
71,3562.60754788
72,2100.67294882
73,4977.29136877
74,1546.99416291
75,1595.41934558
76,1984.382842
77,2251.64494268
78,3570.11971372
79,3322.65996047
80,1831.62879002
81,5166.97744041
82,2134.32739883
83,1131.9634203
84,1541.52027189
85,1321.2833151
86,1224.6873996
87,1380.03285283
88,1081.41521889
89,637.1920296
90,1387.16874272
91,1972.80593888
92,1273.55203424
93,2196.89331467
94,4405.44210494
95,2630.68049854
96,1992.156488
97,3339.91746959
98,1172.16696256
99,2601.03560585
100,1276.76036531
101,3428.08144338
102,1492.35160137
103,1932.78793638
104,4271.75846397
105,1456.68739453
106,2783.86686448
107,1556.11599149
108,3361.10560057
109,1599.91609794
110,4977.82205293
111,1199.56838801
112,1150.96518735
113,2120.75891684
114,3796.13306474
115,1560.34689301
116,810.834580025
117,1917.61873661
118,2411.34544167
119,2129.04448621
120,1805.15355313
121,1470.25565366
122,5449.9285312
123,3522.21318244
124,3439.27296114
125,11576.7702599
126,1968.29665757
127,2114.21402057
128,2392.72308052
129,7475.39676605
130,2262.2492525
131,2023.51385556
132,2912.47953653
133,1411.3142201
134,2918.3665017
135,1268.38521198
136,5030.1049057
137,1253.20625815
138,5997.27639732
139,817.035855582
140,1660.31942515
141,1218.36491407
142,1992.97498306
143,1379.14239521
144,1502.63692034
145,1453.76002465
146,3550.0127158
147,1902.07857698
148,1899.73553048
149,876.25543419
150,1203.78072701
151,3017.77936441
152,3272.45506877
153,1765.23208658
154,3683.85133082
155,1566.58433293
156,3591.67786593
157,3171.27158983
158,1785.78086147
159,1210.29341596
160,4954.93890209
161,1528.97539143
162,1525.04722073
163,1882.86597501
164,2875.7871506
165,1582.86318111
166,1539.32933257
167,1133.44499986
168,1394.02210378
169,2287.93589226
170,3783.62132717
171,1311.26471764
172,859.071077633
173,4531.05184064
174,3228.86541142
175,2158.02253641
176,4468.17136598
177,7346.15693991
178,1895.68151956
179,4409.618159
180,662.997971635
181,2525.76313285
182,1916.92909049
183,2995.7063687
184,1432.83113266
185,2743.55878919
186,1424.67595882
187,6435.19558468
188,1340.06412564
189,2176.06565738
190,3744.16200328
191,1285.57361958
192,1830.6992193
193,2446.6092087
194,1999.421015
195,4278.75225528
196,2332.84808401
197,1377.59357938
198,2153.80541268
199,1382.24848104
200,7310.70248571
201,1687.88878917
202,3914.39511513
203,3611.87375252
204,2922.81101491
205,2724.34925934
206,2536.11147263
207,1376.08402395
208,7520.710569
209,1607.13072703
210,1479.05416382
211,5982.68966704
212,1909.99548472
213,2756.25376758
214,2138.08305347
215,867.582113665
216,2204.04523711
217,1017.7663531
218,690.59840398
219,2851.5660588
220,2044.23037804
221,2468.08584819
222,932.749551385
223,1841.81582412
224,1633.0940978
225,1211.09473623
226,2709.56564476
227,2708.39745367
228,9568.87503193
229,5543.67567952
230,2467.73341419
231,1646.15715482
232,1840.32987101
233,1314.04524736
234,1801.68519461
235,2540.83329994
236,683.086134084
237,1622.95348508
238,2201.23098908
239,917.760250401
240,1084.5115542
241,5341.23364861
242,1145.85324569
243,1569.47429781
244,1343.61047171
245,2525.20913446
246,3075.4119733
247,1466.59877781
248,1438.60401681
249,3401.83683354
250,3543.70381354
251,1763.94087751
252,5045.47782925
253,3415.77902283
254,1543.27125907
255,9770.99516972
256,3095.55782365
257,3816.08366837
258,1330.60030378
259,3166.67663709
260,1245.68949632
261,1557.90988721
262,1454.32360591
263,1734.15924868
264,3357.62145127
265,3982.11242496
266,1912.75621861
267,1834.08113365
268,1879.3186189
269,1601.23678284
270,2546.08173976
271,1234.06766454
272,2268.13901265
273,3260.41635706
274,2298.11135963
275,1267.06568948
276,3154.26898529
277,2448.56124482
278,1574.31190662
279,2108.86203952
280,9171.02251191
281,2077.60612327
282,1869.5058325
283,7021.7479109
284,3890.82681282
285,4182.23281459
286,4596.07128263
287,1887.28384579
288,3061.10610227
289,2474.58015282
290,2114.81009646
291,2330.994379
292,1404.19619279
293,2152.07739119
294,5997.24892936
295,1240.86088938
296,1337.83794938
297,2353.25363225
298,777.213229137
299,1229.41881073
300,1384.63577466
301,9934.68127286
302,1464.70159962
303,5713.65843602
304,2084.75095898
305,1692.22381134
306,1678.59174368
307,5046.3603477
308,1951.61733108
309,1073.85294495
310,1727.04824073
311,3219.75354019
312,904.014836278
313,2779.83449276
314,4023.97468718
315,3534.94023288
316,1423.17933134
317,5532.59041796
318,1970.66175292
319,7360.63856305
320,9499.56231914
321,2567.97727947
322,3752.38586244
323,1291.59038056
324,5111.43809705
325,12286.0110931
326,1752.24670272
327,4901.24802904
328,1781.94918053
329,2063.73436601
330,1383.69659441
331,1028.68178518
332,943.307487906
333,6314.05870104
334,3793.76461147
335,1337.06751094
336,942.032920685
337,2040.38234483
338,2987.73784191
339,986.666312485
340,1675.72544353
341,2592.72462984
342,2075.64155867
343,3470.46632011
344,2448.44154702
345,3076.35313644
346,2121.92691987
347,2151.8495148
348,1863.01044864
349,3752.80197949
350,2349.98229858
351,4248.41904554
352,2595.60411124
353,2186.54580287
354,1394.55967535
355,1368.69434077
356,4346.79979032
357,2867.21780924
358,4200.14073194
359,1531.77675037
360,2067.67050036
361,1294.61316888
362,1315.57893889
363,1808.12754033
364,3129.3227372
365,2916.47098562
366,1991.62154317
367,862.781550975
368,716.991749962
369,1647.62041681
370,4491.53937348
371,2044.54780913
372,1040.77837304
373,3371.74148053
374,4782.2341957
375,1524.9946481
376,799.620925755
377,2121.31966659
378,5639.16130143
379,2418.9715057
380,4933.15549036
381,4759.89991763
382,3617.72203408
383,4785.19236854
384,1126.66959375
385,5327.18014502
386,1641.18528787
387,2708.89696839
388,4964.43657959
389,3759.59030729
390,1558.97237933
391,1154.92217139
392,1542.70786536
393,6525.84174538
394,951.564855755
395,1190.70754448
396,1602.58754873
397,1388.25360551
398,1318.90169832
399,878.835731249
400,2226.54126795
401,4717.44980981
402,4606.48221226
403,1460.41954951
404,3336.87172085
405,942.094936668
406,2686.39275253
407,2366.6059443
408,1201.09809377
409,2107.50576478
410,3430.18303769
411,2163.4652567
412,1206.11350383
413,4583.77095021
414,3396.00342667
415,996.50376478
416,1223.79827293
417,1813.31995862
418,1730.45976121
419,2347.41953806
420,1594.95999635
421,5897.79790646
422,3047.1033293
423,1541.50588905
424,1733.54888353
425,4235.21360815
426,2793.61445195
427,3664.13016991
428,5941.05326846
429,1451.71344508
430,1634.66102618
431,2706.51542637
432,1564.36344261
