# colsample_bytree, min_child_weight, subsample, alpha, max_depth, gamma, target
3.491387563592217025e-01,8.394287447730569562e-01,7.606771602343179728e-01,8.028873317243252483e-01,1.765376692543993542e+01,1.304354984721804556e+00,7.666591310000001602e-01
4.355846657451688531e-01,1.356896241137193426e+00,8.383325241054611077e-01,1.522576145943488113e+00,1.791428698934653596e+01,1.205645126065828077e+00,7.812119384000002498e-01
5.217582379625678168e-01,1.275457420340758041e+00,6.249024282890660587e-01,4.257741798329501837e-01,1.904711082243222364e+01,1.224426861322658322e+00,7.333518066000001001e-01
5.328403647450915548e-01,1.331855758738643924e+00,9.941753786655128655e-01,1.429481927999650903e+00,1.902766876648261629e+01,1.809548341965553142e+00,7.974960450000000423e-01
5.408108602399240850e-01,1.169995555322237646e+00,5.167155910140415198e-01,1.597625131953675615e+00,1.581433773132592435e+01,1.774133039329740091e+00,7.859154541999998633e-01
6.613715207617973935e-01,9.203838488350802871e-01,5.302055031434891319e-01,9.333870515231519338e-01,1.493088373113598344e+01,1.938478444173761694e+00,7.801567383999999938e-01
3.840111804165728948e-01,1.003626542480338113e+00,8.324404238630426223e-01,1.076766087891281254e+00,1.771590097917168549e+01,1.638463901945910628e+00,7.852905029999999176e-01
5.176891527470870447e-01,7.453992615719841064e-01,5.155601929149447038e-01,2.916540997009156033e-01,1.777473746455300230e+01,8.817870031783154872e-01,7.018719482000000953e-01
6.988832442585770632e-01,6.800068315596043966e-01,6.469561229418510084e-01,9.387212871486068089e-01,1.293604536993093390e+01,1.518822169389322019e+00,7.772758055999997584e-01
4.303153450328464080e-01,9.706975094238716739e-01,5.050827328049873888e-01,1.219916369122606703e-01,1.353292565155341975e+01,1.817396666038628705e+00,7.579216306000002845e-01
4.262114949163591793e-01,8.174953952554971925e-01,7.144088941151220951e-01,2.023500208706963122e-02,1.475118015353380230e+01,1.117756214937064341e+00,7.458879884000000349e-01
5.533225907523092735e-01,1.334410086714787003e+00,5.940476496271471785e-01,7.743366075745765631e-01,1.239046083643459184e+01,5.195422584847113612e-01,7.490722412000000441e-01
