# colsample_bytree, min_child_weight, subsample, alpha, max_depth, gamma, target
4.618607404092953672e-01,8.172346866726654113e-01,6.216837738144409542e-01,2.150324217954852291e+00,1.468179843737416235e+01,9.113374509722986794e-01,7.684578368000000159e-01
4.873849706019062200e-01,1.584990812348816558e+00,5.062351807165474948e-01,2.350822973081606815e+00,1.950978029526353907e+01,1.513283083256868444e+00,7.847766115999997849e-01
3.695012273074981812e-01,1.816240484282666490e+00,8.477480387112017457e-01,1.390162527679137172e+00,1.785804615542195606e+01,2.132536050518971216e+00,7.951409914000000523e-01
6.349063355302633216e-01,6.027430577677449497e-01,5.703161917807899606e-01,2.924406004566096229e+00,1.760149542707592474e+01,6.619101205211794792e-01,7.526069093999999682e-01
4.886372489160102361e-01,1.019474249197977356e+00,5.719349237657351814e-01,2.541367180639749979e+00,2.278569146609646268e+01,1.978341469032603550e+00,7.939142336000000189e-01
6.046127255134858824e-01,9.620352114259047571e-01,9.926983475691765202e-01,8.669184061779455774e-01,1.191847920582162779e+01,2.478062191316607432e+00,7.994690676000000273e-01
8.083139149967608628e-01,1.384303401383288445e+00,5.836766762703953226e-01,1.014816503938464898e+00,2.118616860940157309e+01,2.489719798915247750e+00,7.879284178000002248e-01
5.909349827046301851e-01,1.513089024155050755e+00,5.473458828127308884e-01,1.053865887400472712e+00,2.300546214179304627e+01,9.750884074515302480e-01,7.379109130000001127e-01
6.320447175040417864e-01,6.736118734644966910e-01,9.646606844639785683e-01,4.211223114099055254e-01,1.305599856520390567e+01,1.715860125931034430e+00,7.850480713999999915e-01
7.945546363871014428e-01,1.634677113101559609e+00,6.674723363930671338e-01,2.351846674103880819e+00,1.251761078209337796e+01,2.602582908095424141e+00,8.059787353999999793e-01
5.345683715922303625e-01,5.783152792491249583e-01,9.756030109395374961e-01,1.966885692349071180e+00,1.853269147359746682e+01,2.430410505929351039e+00,7.862313966000001875e-01
7.040931105401790902e-01,6.555079336394086242e-01,8.486460113741253197e-01,1.923494624779376050e+00,1.556275300070413081e+01,1.790944393926508393e+00,7.916217772000000430e-01
6.171133867917277804e-01,8.629447607361732109e-01,5.012265527815829014e-01,5.971575944490791210e-01,1.471726359510317117e+01,2.947154269617459299e+00,7.814701657999999496e-01
7.697413500786429719e-01,6.566554029835609541e-01,8.068318856683989182e-01,2.134711606176294296e+00,1.786448320832550252e+01,1.190721419313498952e+00,7.751886719999999675e-01
3.818165311615211999e-01,1.838937927273769146e+00,8.878352533876643360e-01,2.442700626951017639e+00,2.441791495779040844e+01,2.845135753735084538e+00,8.079361573999999102e-01
5.831693405913214168e-01,1.919418068487049878e+00,6.596301355864144789e-01,1.952312325351620137e+00,1.351130136819285887e+01,1.825529285533478596e+00,7.995316893999999674e-01
3.028808658902379936e-01,1.741562013982048018e+00,7.148993000779448881e-01,1.559291681970584875e+00,1.758540526824476657e+01,2.649635274351818559e+00,8.002896969999999666e-01
5.422633142924865313e-01,7.013793150262612741e-01,9.092434006886194187e-01,2.270291912093628905e+00,1.403859114148964515e+01,7.141049266991895683e-01,7.781939695999999795e-01
8.610348277464554556e-01,6.589833294779606776e-01,6.101106192620092683e-01,1.677700903193704463e+00,2.075830181549111231e+01,2.720372873837912930e+00,7.894568604000000711e-01
7.500887262235362840e-01,7.963455617475547754e-01,8.383652555929511641e-01,2.850458968944572513e-01,1.163802710045303357e+01,2.293986034757618420e+00,7.927267826000001794e-01
7.282359509123195185e-01,1.859675125871532497e+00,7.652881190091149755e-01,9.261813891063733761e-01,2.360725868368888314e+01,2.982252420218280076e+00,7.961865966000000183e-01
7.148701060131483764e-01,1.614096656696232479e+00,5.244168563852316112e-01,7.798193588929680509e-01,2.116514262603367769e+01,1.640603613816696615e+00,7.611329345999997553e-01
5.565469790540248374e-01,1.039170598860990058e+00,5.068948013508247641e-01,2.789452256386965701e+00,1.214134501365508712e+01,2.816144460060803212e+00,8.042664304000000097e-01
7.463437322874935109e-01,6.290789684405361237e-01,7.987164232273202824e-01,5.319983664770687737e-01,1.901253926987133980e+01,2.707608713922471377e+00,7.839392579999998611e-01
3.914080146955524753e-01,1.982401837165375991e+00,5.420610529066283156e-01,2.441061120510441995e+00,2.428398846646824438e+01,1.390347968899915632e+00,7.833814698000001187e-01
4.648530925050091134e-01,1.878587178143557912e+00,8.638156625479108675e-01,2.083854584678749067e+00,1.259826037680311117e+01,8.249882730576578727e-01,7.906929199999999103e-01
8.116293877185767336e-01,5.006941716893433814e-01,9.229726427117694865e-01,1.800012932566319446e-01,1.656956650070463866e+01,1.972048644560473019e+00,7.664537351999999304e-01
7.671540601794126779e-01,1.299177299827941612e+00,9.291993562493003900e-01,9.636601090365209954e-01,1.823812764308846113e+01,1.716369630296547655e+00,7.870671629999999031e-01
3.033323073095656186e-01,1.841110030599964809e+00,6.137581791908853779e-01,5.667409335805406734e-01,2.145918769401153270e+01,2.377450498883470154e+00,7.755123046000000908e-01
3.275373368288393428e-01,1.886449956073477541e+00,7.056846468240047798e-01,6.837945446835017593e-01,1.531935549233084259e+01,7.372668193847182749e-01,7.554170895999998692e-01
9.000000000000000222e-01,1.793174961375585408e+00,1.000000000000000000e+00,2.999999995196271474e+00,1.818274809847033779e+01,3.000000000000000000e+00,7.867222411999998943e-01
9.000000000000000222e-01,1.851011668540260890e+00,1.000000000000000000e+00,2.686232951036930938e+00,2.246975276668330679e+01,2.936098771815149000e+00,7.893913818000001248e-01
7.428457428506557436e-01,1.112105741730100572e+00,7.374670901738062945e-01,2.500114078163391707e+00,2.491588730462257217e+01,2.672515959726815993e+00,8.015990720000000236e-01
4.041685062765044134e-01,1.596138805359234691e+00,8.725585013381293997e-01,1.506799568164974401e+00,1.023598066572958665e+01,2.958745310477259860e+00,8.023411866000000892e-01
8.811698990860907799e-01,5.000000000000000000e-01,9.999999999353553770e-01,2.313758022233761036e+00,1.000000000000000000e+01,2.999999999699220155e+00,7.723552001999999250e-01
4.243972075928739152e-01,1.965289557878421300e+00,5.857403981634389245e-01,2.988036406421546332e+00,1.467191376005976622e+01,2.690436242535368283e+00,8.092721924000000344e-01
3.272972877484291443e-01,1.999999997881446001e+00,9.999999958137005818e-01,2.999999999531381967e+00,1.280258004815933326e+01,2.325698317147256500e+00,7.953027589999999147e-01
9.000000000000000222e-01,2.000000000000000000e+00,5.000000000000000000e-01,1.661097233103687794e-09,1.000000000208231121e+01,5.000000017828706289e-01,7.494095457999999654e-01
5.668048562141698721e-01,1.818518719190569177e+00,6.652462441226230094e-01,1.760066222013574988e+00,1.543193869115290617e+01,3.000000000000000000e+00,8.036489257999999136e-01
9.000000000000000222e-01,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.376186649461405942e+01,2.929357535224931919e+00,7.890449463999998914e-01
3.344079246288746421e-01,7.942286391619872710e-01,5.197094025556027175e-01,2.265938327034617839e+00,1.348157965135858838e+01,2.943169739427252907e+00,8.008154054000001798e-01
8.999999865489861639e-01,9.659346408873696888e-01,5.000000000000000000e-01,3.000000000000000000e+00,2.350992138963444233e+01,2.999999986674502406e+00,7.972061281999999194e-01
3.000000080072886544e-01,1.109795906053122172e+00,6.107460033554934498e-01,2.141146538393280618e+00,1.178649241221635435e+01,2.693610566620793900e+00,8.063714109999998714e-01
9.000000000000000222e-01,1.524920772100922806e+00,6.061134232346441220e-01,1.137694917977849718e+00,1.203386432227438796e+01,2.076385480492614732e+00,7.958737057999999420e-01
4.705166398486189672e-01,1.886583733941016083e+00,5.005044765132482532e-01,2.684400860043216763e+00,1.578993411767366872e+01,2.753542542744821464e+00,8.069077392000001403e-01
2.999999999999999889e-01,1.806288452753562979e+00,5.000000000000000000e-01,1.742623663368426890e+00,1.000000000000000000e+01,2.167141450327640051e+00,8.058885497999999092e-01
3.772609277935065064e-01,8.274997411442777118e-01,6.061706090859253493e-01,3.336903799840618690e-01,2.471269875151034867e+01,2.737753655231498495e+00,7.677055419999999630e-01
2.999999999999999889e-01,1.845568087036786542e+00,5.000000000000000000e-01,1.932253186609682816e+00,1.028073918238929529e+01,2.606136980136093406e+00,8.062817138000000217e-01
4.033015222437335012e-01,1.205852908626181330e+00,5.594507735918848867e-01,1.984252956834641424e+00,1.238555657123004039e+01,1.690552826934609287e+00,7.958102051999998983e-01
3.067586434933520234e-01,1.805736806408260176e+00,8.408215826682047256e-01,1.681697718585051682e+00,1.205116182126967850e+01,2.999999999999910738e+00,8.065583739999997448e-01
7.666879851108880928e-01,1.881023933546663640e+00,7.938806952603392197e-01,1.904324363583608903e+00,1.645069179548992011e+01,2.606060497085066263e+00,8.038963380000000436e-01
2.999999999999999889e-01,1.415951320803937818e+00,5.088709674032177999e-01,9.624960152345548581e-01,1.000763008824393019e+01,2.699928461402160806e+00,8.052413820000001721e-01
7.615518639667024914e-01,1.484246606388536005e+00,9.502691028098078085e-01,2.907483276132341032e+00,1.528963857203786958e+01,1.943280925456243979e+00,8.084603027999999192e-01
7.403182941715898968e-01,1.724968271529656150e+00,7.881102609773585899e-01,2.472105819740352484e+00,1.538213017851425590e+01,2.328659285172529181e+00,8.075918458000000966e-01
8.103841800116123872e-01,1.663694564846450286e+00,9.496834025202609553e-01,2.940169986439757022e+00,1.517941260751845078e+01,2.313206755204837428e+00,8.137045409999997814e-01
8.813470336634590119e-01,1.900630757636037949e+00,7.651708918489448230e-01,2.449617787324726681e+00,1.137950718346392520e+01,1.864871449454002628e+00,8.094962889999999245e-01
4.529537305057165786e-01,1.812880610972016582e+00,8.360927835717001377e-01,2.476743676381067516e+00,1.140504077021526896e+01,1.804094174172756970e+00,8.096955322000001232e-01
7.183400862634833350e-01,8.189988470225603168e-01,1.000000000000000000e+00,2.292914750210109709e+00,1.561987098738800306e+01,2.360007483807927464e+00,7.828243652000000941e-01
8.489597082025653885e-01,1.722107642072509215e+00,9.612744229835702425e-01,2.454077273022769567e+00,1.506575883387237802e+01,1.598325186778165152e+00,8.038272703999999047e-01
8.176306473606329561e-01,1.613850805273002509e+00,6.131371341549406440e-01,2.999999907920073206e+00,1.540542413235569974e+01,1.756489639720056672e+00,8.032256101999999398e-01
3.373419756210446208e-01,5.973178214146692699e-01,6.036840321256541353e-01,1.258065682628940030e+00,1.059226142448934027e+01,2.335675008243762285e+00,7.936837889999999174e-01
8.316965446060128331e-01,1.783196179994521069e+00,6.572677892315853532e-01,2.517019084327702938e+00,2.477713245243700868e+01,2.163712116136512709e+00,8.012754395999998058e-01
3.783894365130802129e-01,1.322435288322252100e+00,7.610661593531221625e-01,8.010381647360691471e-01,1.314564374768118071e+01,2.656130422228055288e+00,7.955271238000000134e-01
5.057255334194046270e-01,1.834805042179551204e+00,9.803048756553572884e-01,2.979131148434235321e+00,1.411778623852094761e+01,1.214727550945262413e+00,8.029947753999999716e-01
5.863758559807046300e-01,8.965975588066658064e-01,9.238512831380659707e-01,1.952769228281364455e+00,1.206747376404696936e+01,2.984892787320249319e+00,8.014204101999998775e-01
2.999999999999999889e-01,1.929400128350033716e+00,8.125067201307809572e-01,1.527581493672131918e+00,1.614410497328703897e+01,2.319941221136001985e+00,8.015774657999999997e-01
5.803894128102433658e-01,6.840919430683067848e-01,7.072562240041149195e-01,1.321277810562150101e+00,2.344428928071054230e+01,2.469445780880231034e+00,7.840315185999999770e-01
5.671693733198478471e-01,1.975743418888943115e+00,9.583030273819677092e-01,2.892974381313224264e+00,1.610592311326662340e+01,7.782225232253197067e-01,7.863929685999998531e-01
7.264558193044871048e-01,8.847940533596048152e-01,5.787069424033399745e-01,1.282760333351652404e+00,1.178113646796079195e+01,3.000000000000000000e+00,7.942949947999999871e-01
5.636101094157504043e-01,1.402287929064781169e+00,6.636128270632660753e-01,2.603515737571305166e+00,1.323738174149509028e+01,1.926673294460931940e+00,8.048608400000000218e-01
