# colsample_bytree, min_child_weight, subsample, alpha, max_depth, gamma, target
6.896520138069133221e-01,8.265452831472481776e-01,5.094836175495720543e-01,1.579855939969378564e+00,1.309643224088369351e+01,2.496810620375566003e+00,7.951667235999998473e-01
7.575045581689217045e-01,1.245824253170088936e+00,8.209816319052776201e-01,7.675267473499896020e-01,1.960978187382449534e+01,2.584784387388244564e+00,7.890063233999998760e-01
4.800838684683182422e-01,1.750560800353510249e+00,9.023290720840956292e-01,2.817232000845393269e+00,1.746156210073745996e+01,1.798931724343423522e+00,8.031741944000000410e-01
8.444401255408304774e-01,9.217148407316561043e-01,7.741662378098013164e-01,2.906773131024398715e+00,2.193745145693691612e+01,5.429458892188347985e-01,7.554707032000000932e-01
7.456405360333351329e-01,1.898737502457913839e+00,8.043964138184589441e-01,1.996726509260006832e+00,2.392830783181709364e+01,5.241796355160426302e-01,7.497309570000000312e-01
3.692538975678294477e-01,1.935818608656018069e+00,7.088070861502029363e-01,1.749707027526268055e+00,2.225528085278978452e+01,2.262909259668439699e+00,7.978497069999999081e-01
8.317151556296582537e-01,7.641373050045799920e-01,6.447737784732815447e-01,5.678847127461975619e-01,1.458505122064576653e+01,2.615053708087854645e+00,7.844182615999998331e-01
8.415105885543945341e-01,1.545433385217110489e+00,7.459133188030120376e-01,1.728343870498262325e+00,1.363368923474108385e+01,1.961914082061920528e+00,7.947026613999998990e-01
5.616797496887659946e-01,1.747001516309233393e+00,5.818417098621693206e-01,2.256984568209786879e+00,2.273356394150265203e+01,2.604949450833079716e+00,8.011054932000001294e-01
4.412890076224648128e-01,1.205051097962932527e+00,5.755475377186751729e-01,2.418572386348725178e+00,2.276064523683130147e+01,2.203467859931383721e+00,7.985105226000001055e-01
7.997515497405532914e-01,1.168044498668302067e+00,8.451113313055869103e-01,7.026280550062556918e-01,1.884587249082695237e+01,1.967222551252836071e+00,7.818187258000000028e-01
4.297814075134611667e-01,6.284280814519511704e-01,6.573020545364913758e-01,2.642165105556633087e+00,1.052452089586392425e+01,2.724686219392394193e+00,8.029290526000000261e-01
6.359862497212833699e-01,1.489413157953953126e+00,6.747601349189216169e-01,2.364780287147090654e+00,1.258320017106192878e+01,1.811981359780030054e+00,8.039122804000000677e-01
8.122900653783895475e-01,9.348689401614784789e-01,6.786021273894929928e-01,9.144178067050460212e-01,1.906807893678616850e+01,6.070316143493841299e-01,7.266534912000000013e-01
5.503530324186640676e-01,1.599603194995187216e+00,8.548620498654293520e-01,1.483118739837189892e+00,1.600886979522701026e+01,1.437699165101023580e+00,7.890386229999999390e-01
7.182795640813792737e-01,5.492246295868582484e-01,7.627208911951983694e-01,1.293943942301646111e+00,1.335264944096562090e+01,2.446372182864613443e+00,7.932849854000001422e-01
6.209818696338573751e-01,1.746346918336370013e+00,6.040410800111173373e-01,1.372332601124520490e+00,2.016930370343027334e+01,2.335725480066734860e+00,7.904636230000000596e-01
4.295960728606422752e-01,1.872222023119617607e+00,7.456698730093316296e-01,1.389986672722228755e-01,2.415983575034158548e+01,2.890461041708029200e+00,7.790338623999998324e-01
8.160364510879987154e-01,1.324632940613228449e+00,5.066037801791243300e-01,2.475460609459283479e+00,1.644423199054369178e+01,1.511511601562456342e+00,7.891324219999998890e-01
8.714029140050021383e-01,1.755860527788954739e+00,8.413648509175577495e-01,7.389932001484726953e-01,1.366831137958166664e+01,1.133277585012847144e+00,7.732464112000000389e-01
4.616688946031323182e-01,1.585971786229199765e+00,7.669994413122973587e-01,7.703559137794758760e-01,1.371062612885274845e+01,1.545976020552378261e+00,7.845057374000000694e-01
8.969078568715453947e-01,1.710307581878219851e+00,9.454794599565021773e-01,2.494110297340414562e+00,1.534634973795613355e+01,1.481076691095336351e+00,8.039421141999998355e-01
5.510133655815618869e-01,1.467827456427829524e+00,8.782512932086203872e-01,2.095443934636960659e+00,1.667132347514047908e+01,1.843551199773611815e+00,8.010107180000000104e-01
6.761579354027819067e-01,1.269468678039759935e+00,7.757879888143905944e-01,1.201519696597973308e+00,1.393584121765874784e+01,7.060029910120666496e-01,7.666935301999999730e-01
