# colsample_bytree, min_child_weight, subsample, alpha, max_depth, gamma, target
3.457804087359166445e-01,1.109961792377592626e+00,6.165446002917402968e-01,1.309493751434135600e+00,2.914515890140227494e+00,9.998244282455188703e-01,5.502436766000000645e-01
3.466326652026153754e-01,1.383952203598002528e+00,6.369477449788366608e-01,1.571365045515916936e+00,2.221450446528477674e+00,1.636434553575323525e+00,5.513788817999998315e-01
3.515270764914316115e-01,1.210308427874346782e+00,7.100785808764044083e-01,9.279449267801773704e-01,1.043064984693623520e+00,1.988844536834410537e+00,4.705749512000002022e-01
6.999999999999999556e-01,1.500000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,5.967635251999999779e-01
6.999999999999999556e-01,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,6.007623533999999488e-01
6.999999999999999556e-01,1.500000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,5.967699950000000531e-01
2.999999999999999889e-01,5.000000000000000000e-01,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.009566401894699705e+00,6.007162597999999853e-01
6.772348535162912020e-01,8.473039836665299251e-01,5.450225139605964220e-01,1.878460510873659173e+00,2.684924199931725930e+00,1.582817801287216941e+00,5.508909180000000072e-01
2.999999999999999889e-01,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,6.007623533999999488e-01
2.999999999999999889e-01,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,6.007623533999999488e-01
2.999999999999999889e-01,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,4.692627930000001224e-01
2.999999999999999889e-01,5.000000000000000000e-01,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,6.007162597999999853e-01
3.304865232268747732e-01,1.500000000000000000e+00,9.999255025662525664e-01,2.000000000000000000e+00,3.000000000000000000e+00,9.294059823214918525e-01,6.004405274000000903e-01
2.999999999999999889e-01,5.614886124309210746e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,6.006163573999999672e-01
6.999999965808370028e-01,1.500000000000000000e+00,1.000000000000000000e+00,3.469442087930141323e-18,3.000000000000000000e+00,2.000000000000000000e+00,6.006099610000000810e-01
2.999999999999999889e-01,1.500000000000000000e+00,5.000000144826806103e-01,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,5.988814698000001213e-01
3.156181480548888030e-01,5.041755485727932307e-01,5.597249106669137664e-01,0.000000000000000000e+00,3.000000000000000000e+00,1.645242692957229913e+00,5.977618895999998738e-01
2.999999999999999889e-01,5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,6.006288086000000082e-01
6.999999999999999556e-01,1.157556736569054001e+00,6.045235578128035359e-01,0.000000000000000000e+00,2.715492164095078653e+00,5.000000131185545760e-01,5.512840088000000582e-01
5.864721866096542779e-01,5.157441653694126993e-01,8.897750823381266327e-01,4.197763542822945115e-02,1.917769465515462457e+00,1.025230872187016473e+00,4.699922852000001927e-01
3.822481342196746290e-01,1.477596195864571582e+00,5.855653622083875076e-01,1.992798011447574069e+00,1.622923294143178374e+00,1.815302700541821412e+00,4.703050781999997820e-01
2.999999999999999889e-01,1.500000000000000000e+00,1.000000000000000000e+00,1.090582274251935324e+00,3.000000000000000000e+00,2.000000000000000000e+00,6.010866944000001766e-01
2.999999999999999889e-01,1.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.343699068738309021e+00,6.006343017999999923e-01
4.499514419314659674e-01,8.664350275113196220e-01,5.881465462831476643e-01,4.826999851659456997e-01,2.201789874994664054e+00,1.762950984704862334e+00,5.504520264000002383e-01
2.999999999999999889e-01,5.020872004312371129e-01,9.811378997640557431e-01,9.277046248552317520e-01,3.000000000000000000e+00,1.999761103281238128e+00,6.009748048000000953e-01
