,email,q1,q2,q3,q4,q5
0,10,,6,6,,
1,8,,5,5,,
2,6,,6,5,,
3,0,,1,3,,
4,10,,1,7,,
5,8,More countries to be choose,3,4,Can be open jaw for redeem the tickets to go more place,Make more discount to more easy to redeem the ticket & give chance to change the date or route
6,8,,5,2,,
7,10,I have already recommened Asia Miles to everyone I know who have not joined the programme.,5,4,Free flight,Increase number of seats/flights available for redemption especially for short-medium haul flights
8,7,Ait tickets redemption is very easy !,7,7,Easy to understand !,NA
9,0,I can never get an upgrade redemption seat AND must buy an expensive fare class to do so!  Rip OFF!,5,1,"Nothing.  I prefer Singapore Airlines much more!!  Better aircraft, service, mileage points.",Give more seat redemptions for long haul class upgrades! lower the upgrade class fares!!
10,5,"Much harder to get mileage now 
Very limited on flight selection when exchange ticket",5,5,,
11,8,reward availablility,5,6,flying CX,get rid of waitlisting for awards
12,6,"可換的禮物不太吸引, 一般都可用信用卡積分可換到, 而積分比較少一點.  如只是換禮物，　就不用先將信用卡分轉到ＡＭ。除換機票",2,5,可用積分換機票,能賺取積分比較難。　提議可用積分優惠價買機票。
13,10,,5,4,,
14,8,,5,6,Redeem air tickets,
15,8,It's good to have it for going lounge to relax and refill,3,4,There are many place that have connect with Asia miles.,"But it is not easy to earn points, you have to spend so much to just get some amount of points."
16,5,,5,2,,I have never been able to book upgrade for to and back legs in one go.
17,3,Confusing in how to earn miles,2,3,,
18,6,"The communication are clear, easy to use, various way for cummulating the points.",5,4,,
19,10,Great program!,7,6,Redemption of flight awards and upgrades.,"Get more offers around flying, and less on restaurants/entertainment."
20,10,Because of your excellent service your providing with me,7,7,,
21,9,no fee.,5,4,,three years expiry is not good at all.
22,6,,3,5,,
23,7,因為海外旅遊與購物可能得到積分,7,7,換機票比較繁複，一般60歲以上可能做不到,越簡單越好
24,10,,7,7,,
25,9,,4,3,,
26,7,"Reasonable, but not overly attractive program.",4,3,I only want to fly with Cathay Pacific,"Lower the threshold for redemption, lower the fee for ""mile"" renewal/transfer"
27,9,,4,6,,
28,9,very Good program,6,6,miles program,more gifts items for redeem
29,9,,5,1,合作伙伴很多！,兌換機票實在很難，請提高供會員換票的機會！
30,10,,1,3,,
31,10,,5,6,,
32,10,It's the best way of accumulating miles by many many ways.,7,7,It's easy to accumulate points and is redeemable for many things.,It's good enough. Just keep it up.
33,3,Service and benefit not being improved but only getting slower to get the point. Not a good plan.,2,2,,
34,8,great mileage program.,5,6,"good products, and attentive service",diversified more branded products
35,10,good customer service,6,6,cathay pacific,have more seats available for redemption passengers
36,10,Asiamiles 有很多我想要，也好update 的產品可以換取。,6,5,產品多源化。,市場推廣
37,10,,7,5,,
38,7,,5,3,提供多些機位,熱線經當繁忙
39,10,,3,7,before need to wait long long time can't contact customer service but now improve,more air flight can select
40,2,,2,2,,
41,6,,5,2,When we have a person touch most of the people are very sincere !,Extremely difficult to get the tickets
42,1,,1,1,"not much, quite disappointed as an over decades member.","eg for the Marco Polo status, should go back to the usual upgrade procedure like before."
43,10,very satisfied with the service given,4,6,,
44,2,Supplementary service is not worth for member.,2,1,NIL now,Long term members would like to have more upgarde service.
45,8,,4,4,,
46,8,,4,4,,
47,9,,6,6,,
48,8,It is not always easy to use Asia Miles to redeem or upgrade flights in airlines other than CX or KA,5,3,The miles can be used for upgrades,There is a system on line whereby members can do any upgrades on all airlines directly
49,9,"Asia miles allow redeem of airtickets and both other trendy gifts, especially those gadgets.",4,4,Wide range of gifts can be choosen for redeem.,The iRedeem Asia Miles website is very slow.
50,5,,3,3,,
51,7,The program is good but sometimes it is difficult to redeem points for the desired flights.,6,3,can use points for upgrades.,more choices on restaurants and gift items.
52,10,The resources of gaining mileage is wide and the usage of mileage is attractive,6,6,,
53,10,同國泰航空聯繫，賺取里數容易,7,5,,多些合作食肆
54,7,,4,5,,
55,4,,1,1,,
56,10,,6,5,客戶服務部處理會員查詢時，很多時都肯彈性處理，譬如兩三個不同會員號碼的家人，由其中一人都可以處理申請事宜！,接聽電話查詢的線路比較繁忙，希望加多些少人手。
57,8,,6,2,,
58,10,,2,3,,
59,10,Good airline,1,1,可增加多些本地購買機上的產品 包括日用品 衣服 食品多元化,"機上購物最好加多些里數 因為可以增加客人購買機上產品
最好增加多些產品提供 在機上訂了 到達某個消費可加里數可送貨 但最好增多產品"
60,8,,6,5,,
61,8,Easy to gain the miles from daily life,5,4,,Consider in reducing the handling fee for any redemption or mileage transfer
62,2,I use for flights and not much scope to use miles for flights. Maybe Cathay fault but service worse,4,1,,Broaden airline partners. Cathay do not offer enough chance to redeem
63,8,,3,4,,
64,3,Miles expiring too soon,5,5,,Prolong validity of miles
65,7,,5,3,,
66,10,,2,6,,
67,9,,5,3,Redeem ticket,More seat for redemption
68,8,,4,5,,
69,8,,4,2,,
70,10,,4,5,,
71,6,,5,5,,
72,8,"Earn free travel, even I am not frequent traveler.",4,2,able to earn points from credit card expenses and buy air ticket.,"Allow waiting/booking multiple date and whenever available.
More seats for peak, lastmin discount."
73,7,,5,5,,
74,7,"quite easy to accumulate, but too expensive to redeem tickets",5,5,Many channels to accumulate miles,Reduce the mileage for redeeming tickets. Improve the mobile app.
75,10,可以去遊行,3,6,Getting more ways to earm miles,Easier to redeem air ticket
76,8,,4,4,,多些信用咭可以積分互換，不要只提供新申請或只與新信用咭合作。
77,8,,5,6,,
78,10,方便,1,3,清晰,儲分條件要求高
79,6,,4,3,,
80,9,free air-ticket,4,4,Online information,increase air-ticket available booking nos during peak season
81,10,覺得去旅行時很方便，特別當飛機延誤時，可以🈶️個很舒服的休息場地。,4,2,貴賓室環境舒適,暫時想不到
82,7,,4,6,,More flexibility when changing to another flight with redemption tickets.
83,10,,7,6,,
84,10,,6,6,,
85,8,,3,2,,More tickets available for redemption help me to plan trip earlier
86,6,"比較難兌換機票, 最基本都要六個月前才能有機任",4,5,宣傳及多航空公司作為選擇,每班航班應該預留多些機位以供兌換
87,8,,5,6,,
88,5,,4,5,,
89,8,能通過不同途徑，累積積分，免費換取機票,5,5,手續簡便,增加更多航空公司換取機票
90,8,easy to use,5,5,,
91,3,,1,5,,
92,7,I like Asia Miles but I can only earn via Asia Miles' partners and some of their deals ain't great,6,4,Variety of partners,Make deals better known via partners
93,8,Practical,4,5,Eady to understand & operate,More promotion
94,7,"There are lots of places where we can earn Asia Miles, and also many options where we can use them!",6,6,I enjoy taking Cathay verses other airlines.,Make it easier for upgrades.
95,0,用ASIA MILE 當然希望主要能用於飛行方面。現在換CX票。要求里數比通脹還厲害，常常還要加錢！而繁忙日子一定沒有票換。客戶不如直接加入其他航空公司爲會員，如星空聯盟等或花錢買廉航票。,1,1,沒有。,與CX分離，加入其他航空公司優惠。
96,6,網站經常故障,4,3,賺取里數比較全面,可以有更多推廣活動
97,6,"I am Marco Polo Club member, it is quite confuse to earn Asia Mile.",3,3,Milage,more benefit.
98,8,Extensive coverage of the programme.,5,5,Wide coverage of activities / transactions that could earn miles.,To reduce the charge for redeeming air tickets.
99,7,,4,3,Good alliance,"Count all kind of fares, at different ratio"
100,8,,5,4,,
101,8,Quite difficult to book flight using redemption points,6,6,Easy to become a member,open more point redeemable flight seats
102,5,"Speed of the website is too slow
Not much items for less point",1,1,Marketing,"Speed of website, more redeem items for less point"
103,8,I like the program and that it attaches to my Marco Polo Membership.,7,7,Works with Marco Polo,I rather you focus more on miles and travel benefits than other things like restaurants and hotels
104,8,Variety of award choices,4,4,"Covers major airlines, many vendors",Longer expiry of the mileage points
105,8,,4,4,,Hotline is always busy
